timestamp,particle_count,mean_size_mm,std_size_mm,min_size_mm,max_size_mm,concentration_per_ml,sample_volume_ml,detection_fps,system_mode,threshold_value,min_particle_area,max_particle_area,session_id
2025-09-29T13:04:03.502213,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,detect,60,50,5000,20250929_130403
2025-09-29T13:04:20.871692,0,0.0,0.0,0.0,0.0,0.0,0.05,29.98,detect,60,50,5000,20250929_130403
2025-09-29T13:04:34.503310,0,0.0,0.0,0.0,0.0,0.0,0.05,29.93,detect,60,50,5000,20250929_130403
2025-09-29T13:05:06.459586,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,detect,60,50,5000,20250929_130506
2025-09-29T13:05:21.290352,0,0.0,0.0,0.0,0.0,0.0,0.05,30.27,detect,60,50,5000,20250929_130506
2025-09-29T13:06:16.262128,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,detect,60,50,5000,20250929_130616
2025-09-29T13:06:45.915962,0,0.0,0.0,0.0,0.0,0.0,0.05,30.01,detect,60,50,5000,20250929_130616
2025-09-29T13:07:57.884828,8,0.143,0.0443,0.0947,0.2333,160.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:58.196267,5,0.1356,0.0358,0.0937,0.1852,100.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:58.828468,8,0.1279,0.0322,0.0878,0.1948,160.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:59.082839,7,0.1438,0.0437,0.0934,0.2134,140.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:59.327298,3,0.1581,0.0743,0.0856,0.2603,60.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:59.541096,4,0.1403,0.0604,0.0802,0.241,80.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:59.839549,2,0.1975,0.0483,0.1493,0.2458,40.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:07:59.980812,4,0.1421,0.0703,0.0844,0.261,80.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.097255,3,0.1648,0.0831,0.092,0.2811,60.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.218128,13,0.2192,0.0764,0.1025,0.3483,260.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.310544,9,0.1546,0.1087,0.0802,0.4481,180.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.383023,7,0.0922,0.016,0.0802,0.1291,140.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.464938,1,0.0856,0.0,0.0856,0.0856,20.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.576741,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.670975,1,0.3043,0.0,0.3043,0.3043,20.0,0.05,0.0,detect,60,50,5000,20250929_130757
2025-09-29T13:08:00.861657,31,0.1782,0.0689,0.0863,0.4402,620.0,0.05,0.0,detect,60,50,5000,20250929_130757
